epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7927,0.72186,2.5953,1.00065,0.01828,1,0.30053,0.25733,0.53542,2.86813,0.87261,0.000363072,0.000363072,0.000363072
2,199.366,0.60206,1.39722,0.95988,0.7044,0.81572,0.79167,0.70694,0.49911,1.39782,0.85302,0.000718884,0.000718884,0.000718884
3,289.862,0.57987,1.06537,0.94143,0.76509,0.95103,0.81356,0.69922,0.62833,1.05674,0.90316,0.00106003,0.00106003,0.00106003
4,411.867,0.54455,0.94615,0.92167,0.83512,0.90712,0.9211,0.84652,0.41988,0.77144,0.85952,0.00104501,0.00104501,0.00104501
5,519.348,0.51653,0.8418,0.91435,0.72405,0.86622,0.84279,0.76191,0.44222,1.09157,0.85667,0.00102301,0.00102301,0.00102301
6,639.651,0.48467,0.74649,0.90805,0.93325,0.91446,0.97024,0.91663,0.3651,0.65479,0.85081,0.00100101,0.00100101,0.00100101
7,738.727,0.45115,0.68598,0.90538,0.9306,0.90349,0.96335,0.90145,0.40603,0.72618,0.84601,0.000979013,0.000979013,0.000979013
8,843.512,0.46178,0.68293,0.90011,0.87314,0.92534,0.97147,0.91128,0.37689,0.60182,0.82837,0.000957015,0.000957015,0.000957015
9,948.353,0.46347,0.62035,0.90167,0.91761,0.94092,0.98875,0.94063,0.34108,0.60639,0.81149,0.000935018,0.000935018,0.000935018
10,1046.19,0.43705,0.62807,0.89954,0.85889,0.92056,0.98468,0.94597,0.32256,0.52582,0.81176,0.00091302,0.00091302,0.00091302
11,1147.09,0.3996,0.55953,0.8867,0.98045,0.94839,0.98885,0.93683,0.33764,0.47183,0.83052,0.000891022,0.000891022,0.000891022
12,1257.23,0.40009,0.55117,0.87957,0.97771,0.97565,0.99354,0.93823,0.33445,0.41803,0.82513,0.000869024,0.000869024,0.000869024
13,1363.32,0.37588,0.50795,0.87735,0.98937,0.99459,0.995,0.97367,0.26214,0.36162,0.79861,0.000847026,0.000847026,0.000847026
14,1460.24,0.37783,0.48748,0.87684,0.98486,0.98702,0.99474,0.97572,0.26175,0.37536,0.78949,0.000825029,0.000825029,0.000825029
15,1566.96,0.36933,0.51983,0.88152,0.97813,0.98525,0.99463,0.98072,0.24212,0.36762,0.79225,0.000803031,0.000803031,0.000803031
16,1698.74,0.36011,0.50327,0.87247,0.99256,0.98528,0.99497,0.9556,0.27533,0.33679,0.80228,0.000781033,0.000781033,0.000781033
17,1811.78,0.36365,0.46513,0.87144,0.96602,0.97097,0.99275,0.97683,0.24803,0.33925,0.79494,0.000759035,0.000759035,0.000759035
18,1917.32,0.36454,0.45846,0.87457,0.99802,0.99306,0.99498,0.97857,0.25652,0.30582,0.79191,0.000737037,0.000737037,0.000737037
19,2015.78,0.34972,0.45739,0.87596,0.99486,0.98718,0.99471,0.97913,0.23276,0.29589,0.78615,0.00071504,0.00071504,0.00071504
20,2110.87,0.33215,0.42093,0.86623,0.94754,0.98315,0.99371,0.98598,0.21875,0.3498,0.78347,0.000693042,0.000693042,0.000693042
21,2211.47,0.3453,0.43484,0.87494,0.98644,0.99674,0.99483,0.97408,0.2447,0.2896,0.79199,0.000671044,0.000671044,0.000671044
22,2306.95,0.34285,0.44093,0.86842,0.98993,0.98446,0.99436,0.97984,0.22675,0.2893,0.7791,0.000649046,0.000649046,0.000649046
23,2426.82,0.32203,0.40115,0.86375,0.98754,0.99744,0.99488,0.99205,0.18533,0.24795,0.7729,0.000627048,0.000627048,0.000627048
24,2557.15,0.3117,0.38295,0.86135,0.98946,0.9978,0.9949,0.99115,0.18953,0.2329,0.77585,0.000605051,0.000605051,0.000605051
25,2680.13,0.30892,0.3738,0.86526,0.99813,0.9948,0.99496,0.99138,0.18713,0.22672,0.77776,0.000583053,0.000583053,0.000583053
26,2824.61,0.30964,0.36512,0.86317,0.99381,0.99556,0.99493,0.9903,0.18643,0.24195,0.77162,0.000561055,0.000561055,0.000561055
27,2959.3,0.30186,0.37003,0.86481,0.99346,0.99256,0.99494,0.99203,0.18045,0.2458,0.77233,0.000539057,0.000539057,0.000539057
28,3055.62,0.29606,0.36687,0.85908,0.99369,0.99485,0.995,0.99232,0.16879,0.23134,0.76699,0.000517059,0.000517059,0.000517059
29,3160.91,0.30013,0.36439,0.86612,0.9869,0.99376,0.99479,0.99422,0.17232,0.22661,0.76961,0.000495062,0.000495062,0.000495062
30,3258.61,0.31102,0.38517,0.86593,0.99001,0.99716,0.995,0.9916,0.17787,0.24572,0.77322,0.000473064,0.000473064,0.000473064
31,3367.43,0.28915,0.35133,0.85895,0.99137,0.98206,0.995,0.99296,0.18438,0.23624,0.77147,0.000451066,0.000451066,0.000451066
32,3482.55,0.28972,0.35252,0.8578,0.99522,0.98883,0.99492,0.98676,0.19018,0.21973,0.77815,0.000429068,0.000429068,0.000429068
33,3587.7,0.27289,0.33046,0.86365,0.99547,0.99945,0.995,0.9924,0.16445,0.20883,0.76831,0.00040707,0.00040707,0.00040707
34,3688.42,0.27157,0.33109,0.86242,0.98765,0.98778,0.9949,0.99393,0.15265,0.22494,0.76587,0.000385073,0.000385073,0.000385073
